py5_name,processing_name,decorator,type,category,subcategory,implementation,comments
py5drawpdf,,,cell magic,magics,,PYTHON,magics
py5drawdxf,,,cell magic,magics,,PYTHON,magics
py5drawsvg,,,cell magic,magics,,PYTHON,magics
py5draw,,,cell magic,magics,,PYTHON,magics
py5screenshot,,,line magic,magics,,PYTHON,magics
py5saveframes,,,line magic,magics,,PYTHON,magics
py5animatedgif,,,line magic,magics,,PYTHON,magics
py5captureframes,,,line magic,magics,,PYTHON,magics
